"axe_id","info_id","new_value"
10003,"ngr","TL 71 69"
10004,"ngr","TL 9065"
10005,"ngr","TF 8109"
10007,"ngr","SU 0325"
10013,"ngr","SK 83 61"
10014,"ngr","SK"
10015,"ngr","SK 38 50"
10028,"ngr","SK 570 072"
10029,"ngr","SK 50 67"
10030,"ngr","SU 976 126"
10032,"ngr","SU 250 604"
10033,"ngr","SU 283803"
10075,"ngr","SO"
10076,"ngr","SO 419 587"
10087,"ngr","SO 9 0"
10136,"condition","reworked"
10166,"ngr","SU 150 435"
10168,"ngr","SU 07 25"
10188,"ngr","TL 9730"
10205,"ngr","TQ 68 81"
10210,"ngr","TL 78 29"
10211,"ngr","TM 0225"
10215,"ngr","TG 33 09"
10216,"ngr","TG 17 28"
10218,"ngr","TG 281 201"
10220,"ngr","TG 170 103"
10222,"ngr","TG 211 124"
10223,"ngr","TG 22 02"
10227,"ngr","TG 407 097"
10228,"ngr","TG 165 268"
10231,"ngr","TG 22 24"
10232,"ngr","TG 083 328"
10233,"ngr","TG 155 245"
10234,"ngr","TG 29 06"
10237,"ngr","TG 14 33"
10238,"ngr","TG 14 33"
10239,"ngr","TG 093370"
10240,"ngr","TG 20 16"
10241,"ngr","TG 16 18"
10242,"ngr","TG 257 173"
10243,"ngr","TG 102 116"
10244,"ngr","TG 34 11"
10246,"ngr","TG 108 388"
10247,"ngr","TG 155 385"
10248,"ngr","TG 15 38"
10249,"ngr","TG 167 387"
10250,"ngr","TG 127 255"
10259,"ngr","TG 16 38"
10260,"ngr","TG 171 039"
10263,"ngr","TG 367 053"
10383,"ngr","TG 24 39"
10399,"ngr","TG 28 30"
10402,"ngr","TG 307 053"
10404,"ngr","TG 453 247"
10408,"ngr","TG 328 007"
10410,"ngr","TG 127 182"
10411,"ngr","TG 447 249"
10455,"ngr","TG 28 38"
10582,"ngr","TG 28 30"
10583,"ngr","TG 23 07"
10620,"ngr","TG 293 215"
11224,"ngr","TG 98 06"
20004,"ngr","TF 081 985"
60023,"ngr","SK 70 41"
60036,"ngr","SK 77 31"
60068,"material","VI"
60068,"ngr",
60108,"ngr","TA 02 61"
60113,"ngr","SD 630 445"
60114,"ngr","SD 55 36"
62077,"ngr","SD 528 285"
62080,"ngr","SK 145 713"
62082,"ngr","TL 79 60"
11299,"weight","370"
62062,"maxthick","33"
60154,"maxthick","31"
60051,"maxthick","29"
60051,"polthick","16"
60051,"blathick","23"
60051,"maxleng","110"
81016,"lonpoled","15"
81016,"gripoled","15"
81016,"grinside","115"
81016,"longside","115"
61017,"lonpoled","20"
10512,"lonpoled","25"
11084,"longside","110"
11084,"number","11084"
10009,"longside","90"
10009,"grinside","88"
10102,"longside","105"
11132,"corbapl","all"
11132,"corfropl","all"
11060,"corfropl","1"
10168,"blasin","0"
10128,"weight","1100"
60107,"weight","1425"
